_id,No,自治体名,名称,郵便番号,所在地,電話番号,緯度,経度
24,1,豊橋市,高塚緑地,,豊橋市伊古部町字枇杷ヶ谷57-12,,34.659348,137.390173
25,1,豊橋市,高山緑地,,豊橋市飯村北五丁目14-1､飯村南三丁目25-1他,,34.745441,137.430145
26,1,豊橋市,岩崎広場,,豊橋市岩崎町字長尾75-4他,,34.749706,137.446701
27,1,豊橋市,野依台上藤ケ谷公園,,豊橋市野依台二丁目7-1他,,34.693893,137.3703
28,1,豊橋市,少年自然の家,4413211,豊橋市伊古部町字下り25-41,0532-21-2301,34.667175,137.384293
29,1,豊橋市,野外教育センター,4413211,豊橋市伊古部町字枇杷ヶ谷57-12,0532-21-2133,34.659348,137.390173
30,3,蒲郡市,中央公園,4430006,蒲郡市蒲郡町貴船､水竹町木船外,0533-66-1141,34.83742,137.22891
31,3,蒲郡市,若宮公園,4430021,蒲郡市三谷町若宮264番1,0533-66-1141,34.80702,137.2532
32,3,蒲郡市,北浜公園,4430104,蒲郡市形原町北浜37､38番,0533-66-1141,34.80625,137.19397
33,3,蒲郡市,星越公園,4430021,蒲郡市三谷町東一丁目､星越､塚前､青野,0533-66-1141,34.8158,137.26091
34,3,蒲郡市,双太山公園,4430104,蒲郡市形原町北双太山89番,0533-66-1141,34.80461,137.17778
35,3,蒲郡市,春日浦公園,4430104,蒲郡市形原町春日浦4番1､4番2,0533-66-1141,34.80279,137.19157
36,3,蒲郡市,水竹公園,4430005,蒲郡市水竹町横枕,0533-66-1141,34.83675,137.23545
37,3,蒲郡市,大坪公園,4430045,蒲郡市旭町316番,0533-66-1141,34.8255,137.21794
38,3,蒲郡市,旭公園,4430045,蒲郡市旭町468番,0533-66-1141,34.82631,137.22052
39,3,蒲郡市,御幸公園,4430042,蒲郡市御幸町1901番,0533-66-1141,34.83044,137.22179
40,3,蒲郡市,中ノ坊公園,4430057,蒲郡市中央本町2201番,0533-66-1141,34.83073,137.22463
41,3,蒲郡市,神倉公園,4430044,蒲郡市宝町397番,0533-66-1141,34.82659,137.22359
42,3,蒲郡市,須田公園,4430022,蒲郡市三谷北通四丁目149番,0533-66-1141,34.82034,137.24168
43,3,蒲郡市,向山公園,4430022,蒲郡市三谷北通三丁目246番,0533-66-1141,34.82263,137.24553
44,3,蒲郡市,矢田公園,4430022,蒲郡市三谷北通一丁目139番,0533-66-1141,34.81981,137.25105
45,3,蒲郡市,弥生公園,4430021,蒲郡市三谷町弥生二丁目36番,0533-66-1141,34.81386,137.25317
46,3,蒲郡市,天伯公園,4430021,蒲郡市三谷町東二丁目42番,0533-66-1141,34.81659,137.25368
47,3,蒲郡市,寺戸公園,4430021,蒲郡市三谷町東三丁目42番外,0533-66-1141,34.81495,137.256
48,3,蒲郡市,丸戸公園,4430021,蒲郡市三谷町東五丁目222番,0533-66-1141,34.81146,137.25632
49,3,蒲郡市,御馬公園,4430054,蒲郡市府相町一丁目130番,0533-66-1141,34.82133,137.23761
50,3,蒲郡市,府相公園,4430054,蒲郡市府相町二丁目241番,0533-66-1141,34.8246,137.23588
51,3,蒲郡市,榎田公園,4430055,蒲郡市八百富町一丁目121番,0533-66-1141,34.8218,137.23334
52,3,蒲郡市,前田公園,4430038,蒲郡市拾石町前田31番,0533-66-1141,34.81815,137.19872
53,3,蒲郡市,東浜公園,4430038,蒲郡市拾石町塩浜73番,0533-66-1141,34.82236,137.20187
54,3,蒲郡市,薮田公園,4430048,蒲郡市緑町709番,0533-66-1141,34.83219,137.21909
55,3,蒲郡市,蒲形公園,4430042,蒲郡市御幸町3295番,0533-66-1141,34.82852,137.22004
56,3,蒲郡市,半ノ木公園,4430022,蒲郡市三谷北通五丁目9番,0533-66-1141,34.82483,137.24252
57,3,蒲郡市,西田川公園,4430022,蒲郡市三谷北通六丁目189番,0533-66-1141,34.82305,137.2396
58,3,蒲郡市,八百富公園,4430055,蒲郡市八百富町二丁目17番,0533-66-1141,34.82549,137.23246
59,3,蒲郡市,本町公園,4430059,蒲郡市本町東179番,0533-66-1141,34.82684,137.23076
60,3,蒲郡市,新井公園,4430052,蒲郡市新井町南110番,0533-66-1141,34.82939,137.23331
61,3,蒲郡市,五反田公園,4430051,蒲郡市新井形町南79番,0533-66-1141,34.82853,137.23693
62,3,蒲郡市,港町西公園,4430034,蒲郡市港町,0533-66-1141,34.82172,137.22392
63,3,蒲郡市,港町東公園,4430034,蒲郡市港町,0533-66-1141,34.82029,137.22869
64,3,蒲郡市,新井形公園,4430051,蒲郡市新井形町殿海道,0533-66-1141,34.83226,137.2366
65,3,蒲郡市,東双太山公園,4430104,蒲郡市形原町東双太山92番,0533-66-1141,34.80504,137.18158
66,3,蒲郡市,とよおか湖公園,4430011,蒲郡市豊岡町曲り田110番262ほか,0533-66-1124,34.83088,137.26323
67,4,新城市,大洞山公園,4411352,新城市豊栄字大洞山1番地66,,34.8980504,137.4715577
68,4,新城市,スハ山公園,4411352,新城市豊栄字ｽﾊ山248番地22,,34.8962037,137.4739832
69,4,新城市,城北東部公園,4411371,新城市城北二丁目7番地1,,34.9061614,137.495537
70,4,新城市,有海緑地公園,4411317,新城市有海字鳥影1番地2他,,34.9223379,137.546576
71,4,新城市,緑が丘第１公園,4411316,新城市緑が丘一丁目100番地1他,,34.9265418,137.5459237
72,4,新城市,大宮公園,4411304,新城市大宮字南貝津3番地21,,34.9193059,137.522948
73,4,新城市,市場台北公園,4411348,新城市市場台一丁目10番地9,,34.8867883,137.4695843
74,4,新城市,市場台南公園,4411348,新城市市場台二丁目6番地1他,,34.8849024,137.470026
75,4,新城市,田町川南公園,4411372,新城市字裏野154番地,,34.9033286,137.4982785
76,4,新城市,柴先公園,4411341,新城市杉山字柴先7番地5,,34.9019394,137.4906153
77,4,新城市,田町川北公園,4411371,新城市城北一丁目9番地2,,34.9058117,137.4991617
78,5,田原市,新浜公園,4413413,田原市六連町新浜地内,,34.646426,137.31738
79,5,田原市,田原東部運動公園,4413413,田原市六連町神ﾉ釜7-19外,,34.656071,137.296421
80,5,田原市,やぐま台１号公園,4413411,田原市やぐま台12-1,,34.673295,137.309308
81,5,田原市,やぐま台２号公園,4413411,田原市やぐま台27-7,,34.671693,137.306964
82,5,田原市,田原市交通公園,4413412,田原市谷熊町鍛冶屋前1-1,,34.666115,137.298629
83,5,田原市,緑が浜公園,4413401,田原市緑が浜4-1-1外,,34.69785,137.290567
84,5,田原市,緑が浜２号緑地,4413401,田原市緑が浜2号87､88,,34.708535,137.270681
85,5,田原市,姫見台公園,4413405,田原市姫見台70,,34.706635,137.275217
86,5,田原市,片西１号公園,4413409,田原市片西二丁目83,,34.694144,137.26011
87,5,田原市,白谷海浜公園,4413431,田原市白谷町白磯1外,,34.685872,137.232824
88,5,田原市,西浦公園,4413403,田原市浦町丸山1-19外,,34.702788,137.27227
89,5,田原市,蔵王山展望台,4413403,田原市浦町蔵王1-46,0531-22-0426,34.687981,137.266258
90,5,田原市,蔵王山権現の森,4413421,田原市田原町蔵王地内,,34.679445,137.261165
91,5,田原市,蔵王東ヶ丘４号公園,4413421,田原市田原町大沢3-288,,34.680802,137.269563
92,5,田原市,蔵王南ヶ丘公園,4413421,田原市田原町大沢3-312,,34.680802,137.269563
93,5,田原市,吉胡台なかよし公園,4413408,田原市吉胡台一丁目123,,34.684832,137.277646
94,5,田原市,吉胡貝塚史跡公園,4413402,田原市吉胡町矢崎42-4,,34.682024,137.279865
95,5,田原市,木綿台公園,4413402,田原市吉胡町木綿台169,,34.682007,137.276713
96,5,田原市,つばき公園,4413421,田原市田原町東山口17-1外,,34.676594,137.262528
97,5,田原市,中央公園,4413417,田原市豊島町西新田1,,34.672608,137.280185
98,5,田原市,はなのき広場,4413421,田原市田原町汐見5,,34.671717,137.274366
99,5,田原市,汐見公園,4413421,田原市田原町汐見2,,34.670819,137.273378
100,5,田原市,大手公園,4413421,田原市田原町殿町46-1,,34.671144,137.268356
101,5,田原市,池ノ原公園,4413421,田原市田原町中小路15-1外,,34.673366,137.2652
102,5,田原市,築出公園,4413421,田原市田原町築出37-10,,34.67183,137.271758
103,5,田原市,晩田公園,4413421,田原市田原町晩田97,,34.676005,137.27243
104,5,田原市,晩田第２公園,4413421,田原市田原町晩田48-1,,34.674702,137.271883
105,5,田原市,滝頭総合公園,4413421,田原市田原町滝頭10-1外,,34.666849,137.241799
106,5,田原市,東滝頭公園,4413421,田原市田原町東滝頭1-107,,34.669886,137.247068
107,5,田原市,新清谷公園,4413421,田原市田原町新清谷30,,34.668944,137.261517
108,5,田原市,赤石１号公園,4413422,田原市赤石一丁目43,,34.666284,137.265409
109,5,田原市,赤石２号公園,4413422,田原市赤石四丁目60,,34.663248,137.267442
110,5,田原市,赤石３号公園,4413416,田原市東赤石四丁目56,,34.662503,137.270764
111,5,田原市,赤石４号公園,4413416,田原市東赤石二丁目75,,34.662945,137.272653
112,5,田原市,赤石５号公園,4413416,田原市東赤石五丁目22,,34.661992,137.27395
113,5,田原市,神戸運動公園,4413415,田原市神戸町前畑48,,34.652943,137.274606
114,5,田原市,神戸大池水辺公園,4413415,田原市神戸町大池6-2外,,34.652229,137.279772
115,5,田原市,神戸第一公園,4413415,田原市神戸町新大坪110,,34.6663,137.277544
116,5,田原市,神戸第二公園,4413415,田原市神戸町東大坪61,,34.666256,137.278672
117,5,田原市,新大坪緑地,4413415,田原市神戸町新大坪127,,34.6663,137.277544
118,5,田原市,大草団地公園,4413425,田原市大草町糠塚29-42,,34.63901,137.242717
119,5,田原市,ほると台１号公園,4413434,田原市ほると台2-93外,,34.662768,137.209704
120,5,田原市,ほると台２号公園,4413434,田原市ほると台2-100,,34.662768,137.209704
121,5,田原市,ほると台３号公園,4413434,田原市ほると台1-65外,,34.662651,137.207896
122,5,田原市,馬草多目的広場,4413432,田原市野田町坂下59-1,,34.667175,137.197278
123,5,田原市,光崎西部公園,4413407,田原市光崎二丁目1,,34.71124,137.278714
124,5,田原市,光崎中央公園,4413407,田原市光崎一丁目4,,34.710729,137.279681
125,5,田原市,光崎東部公園,4413407,田原市光崎三丁目12,,34.71121,137.281183
126,5,田原市,高松東部農村広場,4413501,田原市高松町京塚36,,34.624088,137.242892
127,5,田原市,高松地区農村広場,4413501,田原市高松町宮方辺2-1,,34.622086,137.234501
128,5,田原市,赤羽根文化広場,4413501,田原市高松町尾村崎443,,34.625216,137.221185
129,5,田原市,赤東運動広場,4413502,田原市赤羽根町石添74-1,,34.616958,137.20897
130,5,田原市,赤羽根ロコステーション,4413502,田原市赤羽根町西地内,,34.612513,137.198466
131,5,田原市,池尻運動広場,4413505,田原市池尻町宮脇35-1,,34.606997,137.179148
132,5,田原市,若見農村広場,4413503,田原市若見町帯刀沢56,,34.602339,137.167513
133,5,田原市,越戸運動広場,4413504,田原市越戸町宮下760,,34.595375,137.15089
134,5,田原市,渥美運動公園,4413626,田原市小塩津町後山1,,34.603136,137.089663
135,5,田原市,渥美の森,4413626,田原市小塩津町後山30-1外,,34.604647,137.095704
136,5,田原市,亀山農村広場,4413625,田原市亀山町川地70,,34.61079,137.069832
137,5,田原市,西ノ浜海浜の森,4413619,田原市西山町岬1-18,,34.607132,137.052233
138,5,田原市,初立池公園,4413627,田原市堀切町和名山2-98,,34.589503,137.064492
139,5,田原市,夕陽が浜東公園,4413607,田原市夕陽が浜29,,34.643866,137.140658
140,5,田原市,夕陽が浜西公園,4413607,田原市夕陽が浜156,,34.643866,137.140658
141,5,田原市,表浜ほうべの森（谷ノ口公園）,4413424,田原市南神戸町南中島1,0531-24-8901,34.635751,137.28602
142,5,田原市,伊良湖クリスタルポルト,4413624,田原市伊良湖町宮下3000-65,0531-35-6631,34.5833,137.02035
143,5,田原市,田原めっくんはうす,4413416,田原市東赤石5丁目74,0531-23-2525,34.6116,137.27155
144,6,設楽町,ふれあい広場,4412301,設楽町田口字後口4番地4,0536-62-1043,35.100429,137.577305
145,6,設楽町,つぐグリーンプラザ,4412601,設楽町津具字下川原6番地1,0536-83-2291,35.165559,137.621883
146,6,設楽町,津具スポーツ広場,4412601,設楽町津具字中大名地18番地6,0536-83-2301,,
147,6,設楽町,名倉体育館,4412432,設楽町東納庫字ｦﾄｼ山3番地2,0536-65-0001,35.155052,137.536085
148,6,設楽町,田口山村トレーニングセンター,4412301,設楽町田口字矢高5番地7,0536-62-1784,35.098052,137.573238
149,6,設楽町,つぐ高原グリーンパーク,4412601,設楽町津具字東山2-156,0536-83-2344,35.2003259,137.6050244
150,7,東栄町,コミュニティ公園,4490206,東栄町大字下田字平井73,,35.078981,137.719785
151,7,東栄町,浄水公園,4490206,東栄町大字下田字南山39-1,,35.073142,137.717891
152,7,東栄町,とうえい温泉,4490206,東栄町大字下田字花田21,0536-77-0268,35.074445,137.708025
153,7,東栄町,グリーンハウス,4490214,東栄町大字本郷字大森1,0536-76-1266,35.068248,137.704439
154,7,東栄町,B&G海洋センター体育館,4490214,東栄町大字本郷字大森1,0536-76-1266,35.068248,137.704439
155,7,東栄町,B&G海洋センタープール,4490214,東栄町大字本郷字大森1,0536-76-1266,35.068248,137.704439
156,7,東栄町,東栄ドーム,4490214,東栄町大字本郷字大森1,0536-76-1266,35.068248,137.704439
157,7,東栄町,東栄町交流促進センター「千代姫荘」,4490211,東栄町大字中設楽字西向13-3,0536-76-0489,35.083465,137.680596
158,8,豊根村,花の木弓道場,4490405,豊根村坂宇場字御所平70-198,0536-87-2025,35.221768,137.661066
159,8,豊根村,豊根村弓道場,4490403,豊根村下黒川字蕨平2番地,0536-85-1611,35.146174,137.719969
160,8,豊根村,富山運動場,4314121,豊根村富山字湯野島28-6,0536-85-1611,35.183422,137.799255
161,8,豊根村,新井グラウンド,4490401,豊根村三沢字新井6,0536-87-1431,,
162,8,豊根村,三沢体育館,4490401,豊根村三沢字久保貝津,0536-85-1611,,
163,8,豊根村,森遊館,4314121,豊根村富山字湯野島28-6,0536-89-5004,35.183422,137.799255
164,8,豊根村,村民体育館,4490404,豊根村上黒川字,0536-85-1311,,
165,8,豊根村,村民プール,4490404,豊根村上黒川字兎鹿嶋12-2,0536-85-1611,35.144895,137.702756
166,8,豊根村,富山多目的広場,4314121,豊根村富山字正森12番地1外,0536-85-1611,,
167,8,豊根村,兎鹿嶋温泉湯～らんどパルとよね,4490404,豊根村上黒川字長野田20,0536-85-1180,35.143554,137.698229
168,8,豊根村,湯の島温泉,4314121,豊根村富山字兎鹿ﾉ平12-3,0536-89-2007,35.183402,137.799716
169,8,豊根村,グリーンステージ花の木,4490405,豊根村坂宇場字御所平70-198,0536-87-2203,35.221768,137.661066
170,8,豊根村,大入の郷,4490403,豊根村下黒川字桧皮野19-3,0536-85-1033,35.139605,137.7208
171,8,豊根村,川宇連マス釣り場,4490405,豊根村坂宇場字御所平,0536-85-1204,,
172,8,豊根村,茶臼山高原,4490405,豊根村坂宇場字御所平70-185,0536-87-2345,35.220654,137.656119
173,9,浜松市,県立バードピア浜北,4340002,浜松市浜北区尾野2597-7,053-583-0443,34.849232,137.78012
174,9,浜松市,浜松球場,4338122,浜松市中区上島六丁目19-1,053-473-3281,34.743463,137.734093
175,9,浜松市,四ツ池公園 陸上競技場,4338122,浜松市中区上島六丁目19-2,053-474-9709,34.744045,137.734501
176,9,浜松市,浜松市武道館,4328045,浜松市中区西浅田二丁目3-1,053-456-0314,34.695976,137.725242
177,9,浜松市,北部水泳場,4338118,浜松市中区高丘西四丁目7-1,053-438-0220,34.76134,137.692852
178,9,浜松市,浜松オートレース場,4338125,浜松市中区和合町936-19,053-471-0311,34.738015,137.703645
179,9,浜松市,花川運動公園,4338116,浜松市中区西丘町724,053-437-0605,34.773177,137.689933
180,9,浜松市,高丘公園,4338117,浜松市中区高丘東一丁目4,053-420-0849,34.754324,137.709052
181,9,浜松市,小豆餅庭球場,4338113,浜松市中区小豆餅三丁目7,053-473-1829,34.751371,137.728826
182,9,浜松市,和地山公園,4328003,浜松市中区和地山三丁目10,053-473-2517,34.728783,137.717764
183,9,浜松市,船越公園,4300913,浜松市中区船越町49,053-465-0623,34.719154,137.748982
184,9,浜松市,泉運動広場,4338124,浜松市中区泉4丁目29,053-473-1829,34.747404,137.713505
185,9,浜松市,高丘緑地,4338117,浜松市中区高丘東一丁目4,053-420-0849,34.754078,137.707078
186,9,浜松市,馬込川上島緑地,4338122,浜松市中区上島七丁目20,053-473-1829,34.748294,137.742269
187,9,浜松市,浜松アリーナ,4350016,浜松市東区和田町808-1,053-461-1111,34.718016,137.766559
188,9,浜松市,安間川公園,4350005,浜松市東区安新町181-2,053-421-4295,34.730767,137.786343
189,9,浜松市,天竜川緑地,,浜松市南区鶴見町2490-1地先他,053-473-1829,34.72807,137.80057
190,9,浜松市,ゆたか緑地,4313101,浜松市東区豊町6480-1,053-435-4158,34.775257,137.813175
191,9,浜松市,初生グラウンド,4313125,浜松市東区半田山三丁目51,053-473-1829,34.772815,137.736604
192,9,浜松市,半田山グラウンド,4313125,浜松市東区半田山三丁目1084-13,053-424-0164,34.771335,137.736926
193,9,浜松市,有玉緑地,4313123,浜松市東区有玉西町804-1,053-473-1829,34.757779,137.734866
194,9,浜松市,豊西緑地,4313101,浜松市東区豊町3244地先,053-473-1829,34.768241,137.813186
195,9,浜松市,ゆたか第2緑地,4313101,浜松市東区豊町6480-1地先,053-435-4158,34.774896,137.814721
196,9,浜松市,雄踏総合体育館,4310102,浜松市西区雄踏町宇布見9981-1,053-597-3500,34.702529,137.617374
197,9,浜松市,舞童夢（舞阪総合体育館）,4310211,浜松市西区舞阪町舞阪2623-32,053-597-2800,34.67939,137.61275
198,9,浜松市,馬郡運動広場,4310203,浜松市西区馬郡町3785-1,053-597-3500,34.6907,137.628414
199,9,浜松市,渚園,4310214,浜松市西区舞阪町弁天島5005-1,053-592-1525,34.69797,137.606721
200,9,浜松市,雄踏総合公園,4310102,浜松市西区雄踏町宇布見9984-1,053-596-1894,34.702379,137.615207
201,9,浜松市,雄踏グラウンド,4310102,浜松市西区雄踏町宇布見9611-2,053-597-3500,34.693497,137.630496
202,9,浜松市,舞阪乙女園グランド,4310124,浜松市西区舞阪町弁天島3071,053-597-2800,34.694908,137.595852
203,9,浜松市,古橋廣之進記念浜松市総合水泳場 ToBiO,4310201,浜松市西区篠原町23982番地の1,053-489-5463,34.675306,137.670686
204,9,浜松市,西岸中央公園,4328068,浜松市西区大平台三丁目37,053-473-1829,34.71261,137.67517
205,9,浜松市,江之島水泳場,4300844,浜松市南区江之島町1197,,34.660534,137.753663
206,9,浜松市,東部地区体育館,4350028,浜松市南区飯田町558,053-462-1092,34.703852,137.775474
207,9,浜松市,新橋体育センター,4328058,浜松市南区新橋町1-2,053-442-2461,34.683246,137.716788
208,9,浜松市,大塚グラウンド,4350024,浜松市南区大塚町地内安間川河川敷,053-449-1155,34.698904,137.783703
209,9,浜松市,飯田公園,4350024,浜松市南区大塚町1876-1,053-473-1829,34.700349,137.78401
210,9,浜松市,遠州灘海浜公園（球技場）,4300846,浜松市南区白羽町2834-1,053-441-6889,34.663588,137.734158
211,9,浜松市,遠州灘海浜公園（自由広場）,4300845,浜松市南区中田島町1674,053-441-3766,34.66429,137.74462
212,9,浜松市,瓜内スポーツ広場,4328062,浜松市中区瓜内町1825,,34.685381,137.731733
213,9,浜松市,江之島アーチェリー場,4300898,浜松市南区江之島町1197,,34.660817,137.753792
214,9,浜松市,三ヶ日B＆G海洋センター,4311402,浜松市北区三ヶ日町都筑3116-24,053-526-2323,34.785769,137.573611
215,9,浜松市,三ヶ日弓道場,4311495,浜松市北区三ヶ日町三ヶ日121-16,053-524-1512,34.811879,137.552438
216,9,浜松市,細江総合グラウンド,4311304,浜松市北区細江町中川2736,053-522-1722,34.809527,137.674661
217,9,浜松市,細江総合体育センター,4311304,浜松市北区細江町中川2736,053-522-1722,34.80887,137.674881
218,9,浜松市,引佐総合体育館,4312214,浜松市北区引佐町横尾500,053-542-1000,34.835856,137.662296
219,9,浜松市,引佐総合公園（すぽるてん）,4312212,浜松市北区引佐町井伊谷3858-1,053-528-2481,34.837085,137.681152
220,9,浜松市,国民宿舎奥浜名湖,4311305,浜松市北区細江町気賀1023-1,053-522-1115,34.812807,137.650344
221,9,浜松市,三ヶ日運動場,4311404,浜松市北区三ヶ日町宇志1320-5,053-524-1512,34.800272,137.557239
222,9,浜松市,浜北総合体育館（サーラグリーンアリーナ）,4340041,浜松市浜北区平口5042-133,053-585-1222,34.798113,137.758233
223,9,浜松市,浜北温水プール（サーラグリーンアクア）,4340041,浜松市浜北区平口5042-125,053-584-3023,34.798728,137.757126
224,9,浜松市,サンライフ浜北,4340024,浜松市浜北区竜南27,053-586-1881,34.784853,137.814431
225,9,浜松市,浜北武道館,4340024,浜松市浜北区竜南26,053-586-0211,34.784818,137.814753
226,9,浜松市,高薗ゲートボール場,4340024,浜松市浜北区竜南,,34.784888,137.814109
227,9,浜松市,明神池運動公園,4340004,浜松市浜北区宮口391-5,053-582-3099,34.832757,137.764381
228,9,浜松市,美薗中央公園,4340033,浜松市浜北区西美薗733,053-586-7900,34.800078,137.791396
229,9,浜松市,天竜川運動公園,,浜松市浜北区中瀬･永島地先,,34.806765,137.819323
230,9,浜松市,天竜川大平運動公園,4340012,浜松市浜北区中瀬地内,,34.83627,137.820932
231,9,浜松市,御馬ヶ池緑地,4340015,浜松市浜北区於呂3732-1,,34.843059,137.802393
232,9,浜松市,中瀬南部緑地／中瀬南部緑地会館,4340012,浜松市浜北区中瀬4485,053-588-6151,34.814268,137.819358
233,9,浜松市,あらたまの湯,4340006,浜松市浜北区四大地9-921,053-582-1126,34.842003,137.766484
234,9,浜松市,梔池緑地,4340004,浜松市浜北区宮口4666-1,,34.813292,137.760164
235,9,浜松市,浜北平口サッカー場（サーラグリーンフィールド）,4340041,浜松市浜北区平口3071番地の1,053-585-1456,34.798052,137.759778
236,9,浜松市,天竜B&G海洋センター,4313311,浜松市天竜区二俣町阿蔵330-2,053-922-0201,34.858071,137.824709
237,9,浜松市,天竜ボート場,4313314,浜松市天竜区月969-1(月艇庫),,34.916389,137.807715
238,9,浜松市,天竜体育館,4313314,浜松市天竜区二俣町二俣501,053-925-8061,34.871998,137.815107
239,9,浜松市,天竜庭球場,4313303,浜松市天竜区山東2311-1,053-925-8061,34.87911,137.829355
240,9,浜松市,天竜球場,4313306,浜松市天竜区船明2660,053-925-8061,34.888403,137.813476
241,9,浜松市,天竜武道館,4313314,浜松市天竜区二俣町二俣557-1,053-925-8061,34.872226,137.813766
242,9,浜松市,水窪総合体育館,4314102,浜松市天竜区水窪町地頭方241-3,053-982-0012,35.154872,137.868783
243,9,浜松市,船明ダム運動公園,4313306,浜松市天竜区船明2649,053-925-8061,34.889723,137.814323
244,9,浜松市,春野ふれあい公園,4370626,浜松市天竜区春野町領家145-1,053-985-0579,34.957889,137.887676
245,9,浜松市,天竜相津マリーナ,4313754,浜松市天竜区相津85-2,053-923-0544,34.912892,137.814903
246,9,浜松市,青少年の家,4300906,浜松市中区住吉四丁目23-1,053-471-4725,34.731949,137.731572
247,9,浜松市,四ツ池公園,4338122,浜松市中区上島六丁目19-1,053-473-1829,34.743111,137.735778
248,9,浜松市,フラワーパーク,4311209,浜松市西区舘山寺町195,053-487-0511,34.763174,137.633296
249,9,浜松市,浜松市動物園,4311209,浜松市西区舘山寺町199,053-487-1122,34.765051,137.630592
250,9,浜松市,緑化推進センター みどり～な,4350024,浜松市南区大塚町1876-1,053-426-2300,34.700349,137.78401
251,9,浜松市,かわな野外活動センター,4312202,浜松市北区引佐町川名455-5,053-544-0219,34.879453,137.698441
252,9,浜松市,滝沢キャンプ場,4312101,浜松市北区滝沢町1208-1,053-523-1114,34.849311,137.731304
253,9,浜松市,フルーツパーク時之栖,4312102,浜松市北区都田町4263-1,053-428-5211,34.84026,137.732989
254,9,浜松市,都田総合公園,4312103,浜松市北区新都田一丁目3,053-428-4860,34.820453,137.728117
255,9,浜松市,浜北万葉の森公園,4340041,浜松市浜北区平口5051-1,053-586-8700,34.80144,137.760556
256,9,浜松市,天竜川中瀬緑地,4340012,浜松市浜北区中瀬地先,053-473-1829,34.82764,137.822413
257,9,浜松市,鳥羽山公園,4313314,浜松市天竜区二俣町二俣2364,053-473-1829,34.858247,137.805923
258,9,浜松市,藤ノ瀬ホタル公園,4370605,浜松市天竜区春野町気田964,053-473-1829,35.005762,137.910926
259,9,浜松市,高根城址,4314102,浜松市天竜区水窪町地頭方160-1,,35.145354,137.867732
260,9,浜松市,佐久間ふれあい運動公園,4313906,浜松市天竜区佐久間町浦川3544,053-473-1829,35.055891,137.77143
261,9,浜松市,天竜川鹿島上島緑地,,浜松市浜北区上島地先他,053-473-1829,34.8519,137.813036
262,9,浜松市,浜松城公園,4300946,浜松市中区元城町100-2,053-457-0088,34.71329,137.724384
263,9,浜松市,佐鳴湖公園,,浜松市西区入野町･中区富塚町･中区佐鳴台五丁目･中区佐鳴台六丁目,053-476-0210,34.715389,137.687756
264,9,浜松市,三島楊子公園,4300855,浜松市南区楊子町549-1,053-473-1829,34.692051,137.742484
265,9,浜松市,染地台野鳥公園,4340046,浜松市浜北区染地台1丁目32,053-473-1829,34.786766,137.744919
266,9,浜松市,相生公園,4300805,浜松市中区相生町23,053-463-1450,34.707094,137.748604
267,9,浜松市,沖洗運動場,4328062,浜松市南区若林町16-9,,34.686766,137.6993
268,9,浜松市,天竜自然体験センター湖畔の家,4313763,浜松市天竜区月963-1,053-923-0319,34.916992,137.8069
